Reaction,EC number,Gibbs-0,KEGG,Reaction-Direction
PDXJ-RXN,EC-2.6.99.2,-45.902252,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05838'>R05838</a>,LEFT-TO-RIGHT
RXN-10677,,35.17032,,LEFT-TO-RIGHT
RXN-11523,EC-1.17.5.2,-3.4752464,,LEFT-TO-RIGHT
ARGDECARBOX-RXN,EC-4.1.1.19,-3.7141113,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00566'>R00566</a>,REVERSIBLE
RXN66-361,EC-1.14.15.5,-90.00222,,PHYSIOL-LEFT-TO-RIGHT
RXN-16629,EC-2.3.1.41,-6.862915,,PHYSIOL-LEFT-TO-RIGHT
GLYOCARBOLIG-RXN,EC-4.1.1.47,-8.025879,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00013'>R00013</a>,LEFT-TO-RIGHT
RXN-13672,EC-3.2.1.161,-3.112976,,PHYSIOL-LEFT-TO-RIGHT
RXN4FS-3,EC-2.7.7,-103.30353,,LEFT-TO-RIGHT
RXN-9893,,9.3858795,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05391'>R05391</a>,LEFT-TO-RIGHT
RXN1G-127,EC-4.2.1.M1,22.705242,,LEFT-TO-RIGHT
RXN-11234,,-10.007004,,
RXN-12469,EC-2.1.1.219,,,PHYSIOL-LEFT-TO-RIGHT
RXN-13540,EC-2.4.1,6.897583,,LEFT-TO-RIGHT
RXN-12778,EC-1.1.3.6,-29.359999,,PHYSIOL-LEFT-TO-RIGHT
NITROGENASE-RXN,EC-1.18.6.1,-69.48535,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05185'>R05185</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-14404,,8.465149,,LEFT-TO-RIGHT
RXN-16402,EC-6.2.1.3,-12.711792,,LEFT-TO-RIGHT
RXN-11101,EC-1.14.13.112,-90.46051,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07791'>R07791</a>,PHYSIOL-LEFT-TO-RIGHT
RIBOSE-ISOMERASE-RXN,EC-5.3.1.20,-1.46,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01081'>R01081</a>,
RXN-16584,EC-6.2.1,-94.88068,,LEFT-TO-RIGHT
RXN-9775,EC-2.1.3.10,13.146362,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08936'>R08936</a>,LEFT-TO-RIGHT
RXN-12032,,,,LEFT-TO-RIGHT
RXN-14106,EC-5.4.99.3,2.46,,
RXN0-5189,EC-3.2.2.20,48.105377,,PHYSIOL-LEFT-TO-RIGHT
RXN-16249,EC-3.2.1.40,-3.1130219,,LEFT-TO-RIGHT
RXN0-6576,EC-2.1.1.265,-11.881783,,PHYSIOL-LEFT-TO-RIGHT
RXN0-748,EC-1.17.4.1,-10.865234,,RIGHT-TO-LEFT
2.1.1.19-RXN,EC-2.1.1.19,-27.282238,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02573'>R02573</a>,RIGHT-TO-LEFT
1.14.13.75-RXN,EC-1.14.13.75,-78.03052,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05877'>R05877</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-9647,EC-2.3.1,5.2805176,,
RXN-13987,EC-2.3.1,-3.6100464,,LEFT-TO-RIGHT
RXN-15467,EC-1.1.1,-10.649384,,LEFT-TO-RIGHT
RXN-17199,|EC-2.1.1.fs|,,,
1.1.1.83-RXN,EC-1.1.1.83,-0.3199768,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00215'>R00215</a>,LEFT-TO-RIGHT
RXN-13238,,-29.884666,,PHYSIOL-LEFT-TO-RIGHT
RXN-8363,EC-1.14.19.23,-77.122284,,PHYSIOL-LEFT-TO-RIGHT
RXN-14826,EC-2.1.1.292,-4.3599854,,PHYSIOL-LEFT-TO-RIGHT
RXN-16873,EC-4.1.1,4.160015,,PHYSIOL-LEFT-TO-RIGHT
RXN-8248,,-16.892227,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R06738'>R06738</a>,LEFT-TO-RIGHT
RXN-6161,EC-4.1.1.1,-2.6058807,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00224'>R00224</a>,LEFT-TO-RIGHT
RXN1G-289,,1699.606,,LEFT-TO-RIGHT
RXN-16299,EC-1.14.13,,,PHYSIOL-LEFT-TO-RIGHT
2.7.8.25-RXN,EC-2.4.2.52,100.57184,,LEFT-TO-RIGHT
RXN-16765,,0,,LEFT-TO-RIGHT
RXN-15968,EC-1.14.21,-118.817474,,PHYSIOL-LEFT-TO-RIGHT
ENTG-RXN,,266.49036,,LEFT-TO-RIGHT
RXN-9138,EC-2.5.1.M1,-104.000244,,
2.4.1.148-RXN,EC-2.4.1.148,-126.627075,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03514'>R03514</a>,LEFT-TO-RIGHT
DHDOGALDOL-RXN,EC-4.1.2.51,2.6399994,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08570'>R08570</a>,REVERSIBLE
RXN-17633,,,,PHYSIOL-LEFT-TO-RIGHT
RXN-8800,EC-2.4.2.57,-14.996521,,LEFT-TO-RIGHT
SULFATE-ADENYLYLTRANSFERASE-ADP-RXN,EC-2.7.7.5,-8.706665,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00530'>R00530</a>,RIGHT-TO-LEFT
RXN-7853,EC-2.5.1.102,-16.909973,,LEFT-TO-RIGHT
RXN-9677,,-460.89575,,LEFT-TO-RIGHT
RXN-11307,EC-2.3.2,53.415405,,LEFT-TO-RIGHT
CHER-RXN,EC-2.1.1.80,-35.519257,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02623'>R02623</a>,PHYSIOL-LEFT-TO-RIGHT
METHYLGALLATE-RXN,EC-1.13.11,-119.81823,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04280'>R04280</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-11712,,-6.758209,,LEFT-TO-RIGHT
RXN-8694,EC-2.3.1.93,-3.6100616,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04205'>R04205</a>,LEFT-TO-RIGHT
RXN-10831,EC-4.1.1,,,LEFT-TO-RIGHT
RXN-9630,EC-5.4.99.31,-84.529,,LEFT-TO-RIGHT
IMP-DEHYDROG-RXN,EC-1.1.1.205,2.428833,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01130'>R01130</a>,REVERSIBLE
RXN-11559,EC-2.8.2,17.168701,,
CARNDETRU-RXN,EC-4.2.1.149,2.1629639,,LEFT-TO-RIGHT
RXN-15898,EC-6.3.2,142.13013,,LEFT-TO-RIGHT
RXN-16990,EC-3.1.2,96.334015,,LEFT-TO-RIGHT
RXN-12543,EC-3.5.1,-2.6071167,,LEFT-TO-RIGHT
TREHALA-RXN,EC-3.2.1.28,-3.112976,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00010'>R00010</a>,PHYSIOL-LEFT-TO-RIGHT
GUANOSINEKIN-RXN,EC-2.7.1.73,-14.815857,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01228'>R01228</a>,PHYSIOL-LEFT-TO-RIGHT
RXN66-498,EC-1.13.11,-69.98001,,PHYSIOL-LEFT-TO-RIGHT
RXN-9635,EC-1.3.1.9,34.414032,,RIGHT-TO-LEFT
QUERCITRINASE-RXN,EC-3.2.1.40 // EC-3.2.1.66,-3.1129913,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02436'>R02436</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-14553,,29.030792,,
ACP-S-ACETYLTRANSFER-RXN,EC-2.3.1.86 // EC-2.3.1.85 // EC-2.3.1.38,-20.542236,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01624'>R01624</a>,REVERSIBLE
RXN-15257,EC-4.99.1,-13.964783,,
RXN-12195,EC-3.6.1.15,-102.58887,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00569'>R00569</a>,LEFT-TO-RIGHT
RXNQT-4164,EC-5.4.4,1.42,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08624'>R08624</a>,LEFT-TO-RIGHT
RXN-14439,EC-2.4.1.299,1.7999725,,LEFT-TO-RIGHT
RXN-11269,,2.6569977,,LEFT-TO-RIGHT
RXN-15810,EC-2.3.1,-35.803833,,LEFT-TO-RIGHT
RXN-1302,EC-1.1.1.311,-0.46820068,,REVERSIBLE
RXN-17375,EC-2.1.1.M22,,,LEFT-TO-RIGHT
RXN-16435,EC-2.8.1,0,,LEFT-TO-RIGHT
RXN-12067,,-104.42059,,PHYSIOL-LEFT-TO-RIGHT
RXN-9552,EC-1.1.1.100,20.375793,,RIGHT-TO-LEFT
RXN-14984,,1.8100052,,RIGHT-TO-LEFT
2.3.1.103-RXN,EC-2.3.1.103,0,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00063'>R00063</a>,LEFT-TO-RIGHT
RXN-16442,EC-1.14.13,-107.4088,,LEFT-TO-RIGHT
RXN-15678,EC-6.3.2,-30.391724,,LEFT-TO-RIGHT
RXN-4501,EC-1.14.13.89,-91.90051,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R06606'>R06606</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-11637,EC-2.1.1.198,-24.902252,,PHYSIOL-LEFT-TO-RIGHT
RXN-17248,EC-2.3.1.M9,,,
RXN-14149,EC-3.7.1.22,-10.067123,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08603'>R08603</a>,LEFT-TO-RIGHT
RXN-15715,,-10.826508,,LEFT-TO-RIGHT
RXN-9306,EC-1.14.99,,,PHYSIOL-LEFT-TO-RIGHT
RXN-14861,EC-3.1.1,1.0870056,,PHYSIOL-LEFT-TO-RIGHT
1.17.5.1-RXN,EC-1.17.5.1,32.04248,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07222'>R07222</a>,LEFT-TO-RIGHT
RXN-9530,EC-1.3.1.10 // EC-1.3.1.39 // EC-2.3.1.85 // EC-2.3.1.86,33.16577,,RIGHT-TO-LEFT
4-SULFOBENZOATE-34-DIOXYGENASE-RXN,EC-1.14.12.8,-115.86594,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01636'>R01636</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-17791,EC-2.3.1.16,,,PHYSIOL-RIGHT-TO-LEFT
RXN-11595,EC-2.1.1.180,-61.252228,,PHYSIOL-LEFT-TO-RIGHT
RXN-8416,EC-4.2.3.133,-74.56,,PHYSIOL-LEFT-TO-RIGHT
2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN,EC-1.2.1,-10.194031,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01651'>R01651</a>,LEFT-TO-RIGHT
3-OXOACYL-ACP-REDUCT-RXN,EC-2.3.1.86 // EC-2.3.1.85 // EC-1.1.1.100,20.375793,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02767'>R02767</a>,RIGHT-TO-LEFT
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN,EC-1.14.99,,,PHYSIOL-LEFT-TO-RIGHT
RXN-9174,EC-4.1.1,-1.8417587,,LEFT-TO-RIGHT
RXN-16930,EC-1.14.13,-82.877625,,LEFT-TO-RIGHT
RXN0-4222,EC-3.1.13.1,,,PHYSIOL-LEFT-TO-RIGHT
RXN-15339,EC-1.1,,,LEFT-TO-RIGHT
RXN-8655,,-85.63157,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07771'>R07771</a>,LEFT-TO-RIGHT
RXN-7568,EC-2.5.1.130,-16.385864,,LEFT-TO-RIGHT
RXN-17672,EC-1.1.1,,,
FCLREDUCT-RXN,EC-1,1.6264648,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07060'>R07060</a>,
RXN-12056,EC-6.5.1,-171.46655,,PHYSIOL-LEFT-TO-RIGHT
RXN-10598,EC-4.2.3,-48.75,,PHYSIOL-LEFT-TO-RIGHT
RXN-9839,EC-5.1.3.37,0,,LEFT-TO-RIGHT
RXN-11576,EC-2.1.1.172,-34.742218,,PHYSIOL-LEFT-TO-RIGHT
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN,EC-3.1.3.25,7.2170105,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01187'>R01187</a>,PHYSIOL-LEFT-TO-RIGHT
2.4.1.206-RXN,EC-2.4.1.206,-126.62714,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04493'>R04493</a>,
RXN1K-87,,-8.96,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04134'>R04134</a>,
RXN-12721,EC-1.8.4.9,-28.744263,,RIGHT-TO-LEFT
RXN-8840,EC-3.5.99.5,-3.1329956,,LEFT-TO-RIGHT
RXN-14958,EC-2.3.1,-138.81451,,LEFT-TO-RIGHT
RXN0-6482,EC-2.7.7.56,,,LEFT-TO-RIGHT
RXN-13488,EC-1.14.13,-92.26047,,PHYSIOL-LEFT-TO-RIGHT
R544-RXN,,-24.774113,,LEFT-TO-RIGHT
RXN-9705,EC-2.4.1,19.016602,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R06823'>R06823</a>,LEFT-TO-RIGHT
RXN-11749,EC-3.1.2.29,-6.3771973,,PHYSIOL-LEFT-TO-RIGHT
RXN-8102,EC-2.1.1.250,-34.63337,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R10016'>R10016</a>,LEFT-TO-RIGHT
ASPARTATE--TRNA-LIGASE-RXN,EC-6.1.1.12,-60.420166,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05577'>R05577</a>,PHYSIOL-LEFT-TO-RIGHT
2.4.1.143-RXN,EC-2.4.1.143,-126.62683,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07258'>R07258</a>,LEFT-TO-RIGHT
RXN-11046,EC-2.1.1.163,,"<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R09736'>R09736</a>"" // ""<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04993'>R04993</a>",PHYSIOL-LEFT-TO-RIGHT
RXN-15407,EC-1.14.13.200,-194.5841,,PHYSIOL-LEFT-TO-RIGHT
RXN-12464,EC-2.1.1.230,-41.18222,,PHYSIOL-LEFT-TO-RIGHT
RXN-12595,EC-1.1.1,7.72937,,
ISOVITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN,EC-2.4.1.106,6.897583,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03686'>R03686</a>,LEFT-TO-RIGHT
RXN-16188,EC-1.14.13,-84.370544,,PHYSIOL-LEFT-TO-RIGHT
RXN-13181,EC-3.1.1.53,-4.287094,,PHYSIOL-LEFT-TO-RIGHT
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN,EC-4.1.99.3,-447.49,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00034'>R00034</a>,PHYSIOL-LEFT-TO-RIGHT
R17-RXN,EC-1.8.5.4,16.887764,,LEFT-TO-RIGHT
TYROSINE-DECARBOXYLASE-RXN,EC-4.1.1.25,-5.0200043,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00736'>R00736</a>,LEFT-TO-RIGHT
RXN-14395,EC-1.3.2,-34.240585,,LEFT-TO-RIGHT
RXN-13937,EC-2.1.1,-2.9058914,,PHYSIOL-LEFT-TO-RIGHT
RXN-5441,EC-1.1.99,,,REVERSIBLE
RXN-11952,,-43.962357,,LEFT-TO-RIGHT
RXN-15301,EC-1.5.1.48,-6.8464966,,
RXN-14600,EC-3.2.1.191 // |EC-3.2.1.z|,-6.2258453,,PHYSIOL-LEFT-TO-RIGHT
RXN-5061,EC-1.5.7.1,10.780479,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01217'>R01217</a>,RIGHT-TO-LEFT
AMINE-N-METHYLTRANSFERASE-RXN,EC-2.1.1.49,,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02808'>R02808</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-15910,EC-3.2.1.20,-3.112976,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00028'>R00028</a>,LEFT-TO-RIGHT
RXN-13070,,-10.844112,,LEFT-TO-RIGHT
RXN-12235,EC-2.3.1,-6.538208,,LEFT-TO-RIGHT
RXN-17707,,,,LEFT-TO-RIGHT
1.1.1.210-RXN,EC-1.1.1.210,-1.6265259,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04344'>R04344</a>,
5.4.99.14-RXN,EC-5.4.99.14,-10.79,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04510'>R04510</a>,LEFT-TO-RIGHT
RXN-4728,EC-2.4.1,4.5176086,,LEFT-TO-RIGHT
RXN-17413,EC-1.1.1.392,,,
RXN-13366,EC-5.1.2,0,,LEFT-TO-RIGHT
RXN-17389,EC-1.14.13,,,PHYSIOL-LEFT-TO-RIGHT
RXN-8181,,-5.409485,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04701'>R04701</a>,LEFT-TO-RIGHT
RXN0-5461,EC-2.7.1.189,-14.815857,,LEFT-TO-RIGHT
RXN-15208,EC-2.3.1.136,-24.152344,,
RXN-15755,EC-4.2.1,96.34305,,RIGHT-TO-LEFT
RXN-15020,EC-2.7.8,-76.905,,LEFT-TO-RIGHT
RXN-16691,,952.12494,,PHYSIOL-LEFT-TO-RIGHT
RXN-7774,EC-4.1.1.71,-2.1417694,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00272'>R00272</a>,LEFT-TO-RIGHT
RXN-11869,EC-2.1.1.206,-24.902252,,PHYSIOL-LEFT-TO-RIGHT
4.2.1.107-RXN,EC-4.2.1.107,1.6029663,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04813'>R04813</a>,REVERSIBLE
D-TRYPTOPHAN-N-MALONYLTRANSFERASE-RXN,EC-2.3.1.112,-4.041748,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02482'>R02482</a>,
RXN-10758,EC-3.5.1.101,-4.7129936,,
RXN-9356,EC-2.3.1.75,-3.610077,,
RXN-13362,,,,LEFT-TO-RIGHT
GLURS-RXN,EC-6.1.1.17,-82.31244,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05578'>R05578</a>,PHYSIOL-LEFT-TO-RIGHT
SPERMIDINE-DEHYDROGENASE-RXN,EC-1.5.99.6,,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01915'>R01915</a>,
BETA-GLUCOSIDE-KINASE-RXN,EC-2.7.1.85,-16.315918,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01441'>R01441</a>,
RXN-7617,EC-1.14.19,,,PHYSIOL-LEFT-TO-RIGHT
RXN-2054,,0,,LEFT-TO-RIGHT
RXN-17246,EC-2.3.1.M4,,,LEFT-TO-RIGHT
RXN-8623,EC-1.10.3,-90.39399,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08832'>R08832</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-9546,EC-1.3.1,12.623596,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07761'>R07761</a>,RIGHT-TO-LEFT
RXN-10630,EC-4.2.3.41,-61.369995,,PHYSIOL-LEFT-TO-RIGHT
OXALYL-COA-DECARBOXYLASE-RXN,EC-4.1.1.8,-0.9694824,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01908'>R01908</a>,PHYSIOL-LEFT-TO-RIGHT
RXN66-344,,-30.846771,,PHYSIOL-LEFT-TO-RIGHT
RXN-11497,EC-2.3.1.194,5.2806396,,
RXN-13649,EC-5.4.3.11,-1.5499992,,
RXN0-2942,EC-3.1.21,,,PHYSIOL-LEFT-TO-RIGHT
APIGENIN-4-O-METHYLTRANSFERASE-RXN,EC-2.1.1.75,-4.3599854,,PHYSIOL-LEFT-TO-RIGHT
RXN-11210,EC-3.5.1.6,3.3610992,,LEFT-TO-RIGHT
RXN0-2604,EC-3.6.1,,,PHYSIOL-LEFT-TO-RIGHT
RXN3O-680,EC-2.7.1,-0.6241455,,LEFT-TO-RIGHT
RXN-9876,,15.881763,,LEFT-TO-RIGHT
RXN-17171,EC-2.3.1,-13.545837,,LEFT-TO-RIGHT
RXN-14378,EC-2.4.1.242,,,LEFT-TO-RIGHT
RXN-16376,EC-4.2.1,-0.8679924,,LEFT-TO-RIGHT
RXN-13522,EC-4.2.3,-82.850006,,PHYSIOL-LEFT-TO-RIGHT
RXN-12758,EC-5.4.4.6,-14.84,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07062'>R07062</a>,
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN,EC-2.3.1.191,260.51083,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04550'>R04550</a>,LEFT-TO-RIGHT
6.3.5.7-RXN,EC-6.3.5.7,-23.630981,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03905'>R03905</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-14086,EC-2.4.1,-9.382446,,LEFT-TO-RIGHT
RXN-11082,,383.6211,,LEFT-TO-RIGHT
RHAMNULOKIN-RXN,EC-2.7.1.5,-13.065796,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03014'>R03014</a>,LEFT-TO-RIGHT
RXN-13037,EC-2.3.1.181,4.9811096,,LEFT-TO-RIGHT
VALINE--TRNA-LIGASE-RXN,EC-6.1.1.9,-113.89581,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03665'>R03665</a>,PHYSIOL-LEFT-TO-RIGHT
2.1.1.132-RXN,EC-2.1.1.132,-36.037132,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05149'>R05149</a>,PHYSIOL-LEFT-TO-RIGHT
1.14.13.57-RXN,EC-1.14.13.57,-28.534546,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04708'>R04708</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-16232,EC-1.11.2,-122.09398,,LEFT-TO-RIGHT
RXN-17060,,-5.1958923,,LEFT-TO-RIGHT
RXN-16987,EC-2.3.1,-70.070435,,LEFT-TO-RIGHT
RXN66-336,EC-2.3.2.2,-61.002594,,LEFT-TO-RIGHT
RXN-17175,|EC-1.14.13.cx|,-92.624695,,
RXN-8344,EC-2.7.7.75,-54.052612,,LEFT-TO-RIGHT
RXN-13971,,19.069,,
RXN-15446,EC-1.1.99,,,LEFT-TO-RIGHT
RXN0-6485,EC-3.1.26.12,,,PHYSIOL-LEFT-TO-RIGHT
RXN-12968,EC-1.1.1.330,9.189453,,LEFT-TO-RIGHT
RXN-14810,,1.7499924,,REVERSIBLE
RXN-16857,EC-2.1.1,-4.360016,,LEFT-TO-RIGHT
1.1.1.277-RXN,EC-1.1.1.277,-1.6264954,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R06166'>R06166</a>,
RXN-13222,EC-1.1.1.325,-3.186493,,
GLYCOLALD-DEHYDROG-RXN,EC-1.2.1.21,-17.02533,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01333'>R01333</a>,LEFT-TO-RIGHT
DTDPKIN-RXN,EC-2.7.4.6,94.98999,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02093'>R02093</a>,LEFT-TO-RIGHT
RXN-14517,EC-2.1.1.228,-27.282257,,PHYSIOL-LEFT-TO-RIGHT
RXN-8224,,,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05829'>R05829</a>,LEFT-TO-RIGHT
RXN-5822,EC-3.1.3.2 // EC-3.1.3.1,8.46521,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00118'>R00118</a>,LEFT-TO-RIGHT
2.7.7.46-RXN,EC-2.7.7.46,-106.438416,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02432'>R02432</a>,
2.4.1.117-RXN,EC-2.4.1.117,-0.62390137,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01005'>R01005</a>,LEFT-TO-RIGHT
RXN-7910,EC-2.6.99.1,-1190.2402,,
RXN-15950,EC-3.5.1,-20.513489,,LEFT-TO-RIGHT
RXN-16743,,-75.8954,,LEFT-TO-RIGHT
RXN1G-853,EC-1.1.1.M9,20.375854,,RIGHT-TO-LEFT
RXN-12550,EC-3.1.1.64,295.09537,,PHYSIOL-LEFT-TO-RIGHT
RXN-9092,EC-6.2.1.40,-12.71167,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R09279'>R09279</a>,PHYSIOL-LEFT-TO-RIGHT
TOCOPHEROL-O-METHYLTRANSFERASE-RXN,EC-2.1.1.95,-20.639893,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07236'>R07236</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-10771,EC-4.1.99.13,1.28,,
DEOXYCYTIDYLATE-C-METHYLTRANSFERASE-RXN,EC-2.1.1.54,-8.257782,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01670'>R01670</a>,
6.3.2.30-RXN,EC-6.3.2.30,40.490723,,PHYSIOL-LEFT-TO-RIGHT
RXN-17615,EC-3.7.1,,,LEFT-TO-RIGHT
RXN-8784,,-19.24414,"<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00647'>R00647</a>"" // ""<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00647'>R00647</a>",LEFT-TO-RIGHT
SUCCDIAMINOPIMDESUCC-RXN,EC-3.5.1.18,-2.5029907,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02734'>R02734</a>,REVERSIBLE
RXN-7819,EC-1.14.13.54,-114.56464,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08206'>R08206</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-16908,EC-1.2.98,-27.931519,,LEFT-TO-RIGHT
RXN-14928,EC-2.1.1.296,-24.902344,,PHYSIOL-LEFT-TO-RIGHT
METHENYLTHFCYCLOHYDRO-RXN,EC-3.5.4.9,-14.889252,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01655'>R01655</a>,REVERSIBLE
RXN-11685,EC-2.4.1,-9.382324,,LEFT-TO-RIGHT
RXN-8673,EC-1.4.3.19,-3.7371178,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05862'>R05862</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-10815,EC-1.13.11.27,-109.71999,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01372'>R01372</a>,PHYSIOL-LEFT-TO-RIGHT
RXN1G-613,EC-1.1.1.M9,20.375763,,RIGHT-TO-LEFT
RXN-9612,,-53.845047,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R06600'>R06600</a>,LEFT-TO-RIGHT
HYDROXYPYRUVATE-DECARBOXYLASE-RXN,EC-4.1.1.40,-3.4658737,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01393'>R01393</a>,
RXN-11633,EC-2.1.1.182,-176.8891,,PHYSIOL-LEFT-TO-RIGHT
RXN-11542,EC-1.13.11.39,-73.53412,,PHYSIOL-LEFT-TO-RIGHT
RXN-12215,EC-1.12.1.4,-33.169952,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R09508'>R09508</a>,PHYSIOL-RIGHT-TO-LEFT
RXN-12524,,40.92859,,LEFT-TO-RIGHT
GSHTRAN-RXN,EC-2.5.1.18,-154.82794,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03522'>R03522</a>,LEFT-TO-RIGHT
RXN66-482,EC-1.3.1.38,-12.063477,,LEFT-TO-RIGHT
RXN-15240,EC-2.4.1,6.897583,,
RXN-14534,,9.147003,,LEFT-TO-RIGHT
RXN-13992,EC-3.5.4.37,4.5982056,,
