ID,NAME,REACTION,EC,GPR,LOWER.BOUND,UPPER.BOUND,OBJECTIVE,COMPARTMENT,SUBSYSTEM
R04754,"Decanoyl-CoA:(acceptor) 2,3-oxidoreductase",FAD[c] + Decanoyl-CoA[c] <=> FADH2[c] + trans-Dec-2-enoyl-CoA[c],1.3.3.6         1.3.99.3        1.3.99.13       1.3.99.-,( 102581426 and 102579351 and 102592258 and 102587406 and 102588328 and 102586848 ) or ( 102592751 and 102587144 ),-1000,1000,NA,c,Fatty acid metabolism
R04756,"cis,cis-3,6-Dodecadienoyl-CoA delta3-cis-delta2-trans-isomerase","cis,cis-3,6-Dodecadienoyl-CoA[c] <=> trans,cis-Lauro-2,6-dienoyl-CoA[c]",5.3.3.8,NA,-1000,1000,NA,c,Fatty acid metabolism
R02158,UDPglucose:flavonol 3-O-D-glucosyltransferase,UDP-glucose[c] + Quercetin[c] <=> UDP[c] + Quercetin 3-O-glucoside[c],2.4.1.91,NA,-1000,1000,NA,c,Flavone and flavonol biosynthesis
R04900,UDP-L-rhamnose:flavonol-3-O-D-glucoside L-rhamnosyltransferase,UDP-L-rhamnose[c] + Quercetin 3-O-glucoside[c] <=> UDP[c] + Rutin[c],2.4.1.159,NA,-1000,1000,NA,c,Flavone and flavonol biosynthesis
R06611,UDPglucose:flavonol 3-O-D-glucosyltransferase,UDP-glucose[c] + Kaempferol[c] <=> UDP[c] + Astragalin[c],2.4.1.91,NA,-1000,1000,NA,c,Flavone and flavonol biosynthesis
R08001,,Fisetinidol-4beta-ol[c] <=> Fustin[c],,NA,-1000,1000,NA,c,Flavonoid biosynthesis
R00428,"GTP 8,9-hydrolase",H2O[c] + GTP[c] <=> Formamidopyrimidine nucleoside triphosphate[c],3.5.4.16,( 102591811 ),-1000,1000,NA,c,Folate biosynthesis
R00942,Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming),ATP[c] + L-Glutamate[c] + Tetrahydrofolate[c] <=> ADP[c] + Orthophosphate[c] + Tetrahydrofolyl-[Glu](2)[c],6.3.2.17,( 102593380 and 102599413 ),-1000,1000,NA,c,Folate biosynthesis
R02237,"7,8-dihydropteroate:L-glutamate ligase (ADP-forming)",ATP[c] + L-Glutamate[c] + Dihydropteroate[c] <=> ADP[c] + Orthophosphate[c] + Dihydrofolate[c],6.3.2.12        6.3.2.17,( 102593380 and 102599413 ) or ( 102603442 ),-1000,1000,NA,c,Folate biosynthesis
R03066,"2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase","4-Aminobenzoate[c] + 2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine[c] <=> H2O[c] + Dihydropteroate[c]",2.5.1.15,( 102589661 ),-1000,1000,NA,c,Folate biosynthesis
R03067,"2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase","4-Aminobenzoate[c] + 2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine[c] <=> Diphosphate[c] + Dihydropteroate[c]",2.5.1.15,( 102589661 ),-1000,1000,NA,c,Folate biosynthesis
R03503,"ATP:2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine 6'-pyrophosphotransferase","ATP[c] + 2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine[c] <=> AMP[c] + 2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine[c]",2.7.6.3,( 102589661 ),-1000,1000,NA,c,Folate biosynthesis
R03504,"2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine glycolaldehyde-lyase","2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine[c] <=> Glycolaldehyde[c] + 2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine[c]",4.1.2.25,( 102604418 and 102601865 ),-1000,1000,NA,c,Folate biosynthesis
R04639,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate hydrolase","H2O[c] + 2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate[c] <=> 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine[c]",3.5.4.16,( 102591811 ),-1000,1000,NA,c,Folate biosynthesis
R05046,formamidopyrimidine nucleoside triphosphate amidohydrolase,"H2O[c] + Formamidopyrimidine nucleoside triphosphate[c] <=> Formate[c] + 2,5-Diaminopyrimidine nucleoside triphosphate[c]",3.5.4.16,( 102591811 ),-1000,1000,NA,c,Folate biosynthesis
R05048,"2,5-Diaminopyrimidine nucleoside triphosphate mutase","2,5-Diaminopyrimidine nucleoside triphosphate[c] <=> 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine[c]",3.5.4.16,( 102591811 ),-1000,1000,NA,c,Folate biosynthesis
R09394,,H2O[c] + GTP[c] <=> Diphosphate[c] + Precursor Z[c],,( 102595047 and 102601362 ),-1000,1000,NA,c,Folate biosynthesis
R09395,,2 Sulfur donor[c] + Precursor Z[c] <=> Molybdopterin[c],,( 102591732 and 102605332 ),-1000,1000,NA,c,Folate biosynthesis
R00867,ATP:D-fructose 6-phosphotransferase,ATP[c] + D-Fructose[c] => ADP[c] + beta-D-Fructose 6-phosphate[c],2.7.1.1         2.7.1.4,( 102577690 and 102580689 and 102577859 and 102584320 and 102604144 and 102605773 ) or ( 102577816 and 102585347 and 102596394 and 102593836 and 102579374 ),-1000,1000,NA,c,Fructose and mannose metabolism
R00875,D-Glucitol:NAD+ 2-oxidoreductase,NAD+[c] + D-Sorbitol[c] <=> NADH[c] + H+[c] + D-Fructose[c],1.1.1.14        1.1.1.15,( 102595131 and 102602218 ),-1000,1000,NA,c,Fructose and mannose metabolism
R00883,GDP:D-mannose-1-phosphate guanylyltransferase,GDP[c] + D-Mannose 1-phosphate[c] <=> Orthophosphate[c] + GDP-mannose[c],2.7.7.22,NA,-1000,1000,NA,c,Fructose and mannose metabolism
R01818,"D-mannose 6-phosphate 1,6-phosphomutase",D-Mannose 6-phosphate[c] <=> D-Mannose 1-phosphate[c],5.4.2.8,( 102589310 and 102602954 and 102595382 ),-1000,1000,NA,c,Fructose and mannose metabolism
R01332,beta-D-mannan hydrolases,"1,4-beta-D-Mannan[c] + H2O[c] <=> D-Mannose[c]",3.2.1.78,( 102588957 and 102589884 and 102593053 and 102593385 and 102592832 and 102591414 and 102598441 and 102597875 and 102605787 and 102594607 ),-1000,1000,NA,c,Fructose and mannose metabolism
R01787,D-Glucitol:NADP+ 1-oxidoreductase,NADP+[c] + D-Sorbitol[c] <=> NADPH[c] + H+[c] + alpha-D-Glucose[c],1.1.1.21,( 102596820 and 107058339 ),-1000,1000,NA,c,Fructose and mannose metabolism
R02073,diphosphate:beta-D-fructose-6-phosphate 1-phosphotransferase,"Diphosphate[c] + beta-D-Fructose 6-phosphate[c] <=> Orthophosphate[c] + beta-D-Fructose 1,6-bisphosphate[c]",2.7.1.90,( 102577617 and 102577862 and 102601673 and 102604450 ),-1000,1000,NA,c,Fructose and mannose metabolism
R02568,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,D-Fructose 1-phosphate[c] <=> Glycerone phosphate[c] + D-Glyceraldehyde[c],4.1.2.13,( 102577529 and 102577738 and 102577842 and 102606020 and 102577880 and 102577677 and 102577667 and 102580344 ),-1000,1000,NA,c,Fructose and mannose metabolism
R05692,"GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)",NADP+[c] + GDP-L-fucose[c] <=> NADPH[c] + H+[c] + GDP-4-dehydro-6-deoxy-D-mannose[c],1.1.1.271,( 102597056 ),-1000,1000,NA,c,Fructose and mannose metabolism
R00878,alpha-D-Glucose aldose-ketose-isomerase,alpha-D-Glucose[c] <=> D-Fructose[c],5.3.1.5,( 102582159 ),-1000,1000,NA,c,Fructose and mannose metabolism
R00291,UDP-glucose 4-epimerase,UDP-glucose[c] <=> UDP-D-galactose[c],5.1.3.2,( 102577764 and 102577748 and 102580464 ),-1000,1000,NA,c,Galactose metabolism
R00502,UTP:alpha-D-galactose-1-phosphate uridylyltransferase,UTP[c] + alpha-D-Galactose 1-phosphate[c] => Diphosphate[c] + UDP-alpha-D-galactose[c],2.7.7.64,( 102596087 ),0,1000,NA,c,Galactose metabolism
R00959,"alpha-D-Glucose 1-phosphate 1,6-phosphomutase",D-Glucose 1-phosphate[c] <=> alpha-D-Glucose 6-phosphate[c],5.4.2.2,( 102585015 and 102579912 and 102583854 and 102593173 ),-1000,1000,NA,c,Galactose metabolism
R00955,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase,UDP-glucose[c] + alpha-D-Galactose 1-phosphate[c] <=> UDP-D-galactose[c] + D-Glucose 1-phosphate[c],2.7.7.12,( 102597864 ),-1000,1000,NA,c,Galactose metabolism
R01092,ATP:D-galactose 1-phosphotransferase,ATP[c] +alpha-D-Galactose[c] => ADP[c] + alpha-D-Galactose 1-phosphate[c],2.7.1.6,NA,0,1000,NA,c,Galactose metabolism
R01093,galactitol:NAD+ 1-oxidoreductase,NADH[c] + H+[c] + D-Galactose[c] <=> NAD+[c] + Galactitol[c],1.1.1.21,( 102596820 and 107058339 ),-1000,1000,NA,c,Galactose metabolism
R01095,galactitol:NADP+ 1-oxidoreductase,NADPH[c] + H+[c] + D-Galactose[c] <=> NADP+[c] + Galactitol[c],1.1.1.21,( 102596820 and 107058339 ),-1000,1000,NA,c,Galactose metabolism
R01104,Galactosylglycerol galactohydrolase,H2O[c] + 3-beta-D-Galactosyl-sn-glycerol[c] <=> Glycerol[c] + D-Galactose[c],3.2.1.22,( 102582623 and 102601840 and 102601663 ),-1000,1000,NA,c,Galactose metabolism
R01194,3-O-alpha-D-Galactosyl-1D-myo-inositol galactohydrolase;,H2O[c] + alpha-D-Galactosyl-(1->3)-1D-myo-inositol[c] <=> D-Galactose[c] + myo-Inositol[c],3.2.1.22,( 102582623 and 102601840 and 102601663 ),-1000,1000,NA,c,Galactose metabolism
R01329,Epimelibiose galactohydrolase,H2O[c] + Epimelibiose[c] <=> D-Galactose[c] + D-Mannose[c],3.2.1.22,( 102582623 and 102601840 and 102601663 ),-1000,1000,NA,c,Galactose metabolism
R01678,Lactose galactohydrolase,H2O[c] + Lactose[c] <=> D-Galactose[c] + alpha-D-Glucose[c],3.2.1.23        3.2.1.108,( 102585159 ) or ( 102586853 ),-1000,1000,NA,c,Galactose metabolism
R02926,Melibiitol galactohydrolase,H2O[c] + Melibiitol[c] <=> D-Galactose[c] + D-Sorbitol[c],3.2.1.22,( 102582623 and 102601840 and 102601663 ),-1000,1000,NA,c,Galactose metabolism
R03236,ATP:D-tagatose-6-phosphate 1-phosphotransferase,"ATP[c] + D-Tagatose 6-phosphate[c] => ADP[c] + D-Tagatose 1,6-bisphosphate[c]",2.7.1.11        2.7.1.56,( 102597696 and 102581441 and 102595575 and 102581128 and 102593810 and 102586088 and 102590756 and 102601740 ),0,1000,NA,c,Galactose metabolism
R03237,CTP:D-Tagatose 6-phosphate 1-phosphotransferase,"CTP[c] + D-Tagatose 6-phosphate[c] <=> CDP[c] + D-Tagatose 1,6-bisphosphate[c]",2.7.1.11,( 102597696 and 102581441 and 102595575 and 102581128 and 102593810 and 102586088 and 102590756 and 102601740 ),-1000,1000,NA,c,Galactose metabolism
R03238,UTP:D-Tagatose 6-phosphate 1-phosphotransferase,"UTP[c] + D-Tagatose 6-phosphate[c] <=> UDP[c] + D-Tagatose 1,6-bisphosphate[c]",2.7.1.11,( 102597696 and 102581441 and 102595575 and 102581128 and 102593810 and 102586088 and 102590756 and 102601740 ),-1000,1000,NA,c,Galactose metabolism
R03239,ITP:D-Tagatose 6-phosphate 1-phosphotransferase,"ITP[c] + D-Tagatose 6-phosphate[c] <=> IDP[c] + D-Tagatose 1,6-bisphosphate[c]",2.7.1.11,( 102597696 and 102581441 and 102595575 and 102581128 and 102593810 and 102586088 and 102590756 and 102601740 ),-1000,1000,NA,c,Galactose metabolism
R03213,UDPglucose:thiohydroximate S-beta-D-glucosyltransferase,UDP-glucose[c] + Phenylacetothiohydroximate[c] <=> UDP[c] + Desulfoglucotropeolin[c],2.4.1.195,( 102603088 and 102603422 ),-1000,1000,NA,c,Glucosinolate biosynthesis
R08652,"L-phenylalanine,NADPH:oxygen oxidoreductase (N-hydroxylating, decarboxylating)",2 NADPH[c] + 2 Oxygen[c] + L-Phenylalanine[c] + 2 H+[c] <=> 3 H2O[c] + 2 NADP+[c] + CO2[c] + (Z)-Phenylacetaldehyde oxime[c],1.14.13.-,( 102597216 and 102599701 and 102605603 and 102605273 and 102593505 ),-1000,1000,NA,c,Glucosinolate biosynthesis
R08653,"(Z)-phenylacetaldehyde-oxime,NADPH:oxygen oxidoreductase (adding cysteine)",NADPH[c] + Oxygen[c] + H+[c] + L-Cysteine[c] + (Z)-Phenylacetaldehyde oxime[c] <=> 2 H2O[c] + NADP+[c] + S-(Phenylacetothiohydroximoyl)-L-cysteine[c],1.14.-.-,NA,-1000,1000,NA,c,Glucosinolate biosynthesis
R08654,S-(phenylacetothiohydroximoyl)-L-cysteine phenylacetothiohydroximate-lyase (deaminating; pyruvate-forming),H2O[c] + S-(Phenylacetothiohydroximoyl)-L-cysteine[c] <=> NH3[c] + Pyruvate[c] + Phenylacetothiohydroximate[c],4.4.1.-,NA,-1000,1000,NA,c,Glucosinolate biosynthesis
R08666,"4-methylthiobutanaldoxime,NADPH:oxygen oxidoreductase (adding cysteine)",NADPH[c] + Oxygen[c] + H+[c] + L-Cysteine[c] + 4-Methylthiobutanaldoxime[c] <=> 2 H2O[c] + NADP+[c] + S-(4-Methylthiobutylthiohydroximoyl)-L-cysteine[c],1.14.-.-,NA,-1000,1000,NA,c,Glucosinolate biosynthesis
R08667,S-(4-methylthiobutylthiohydroximoyl)-L-cysteine 4-methylthiobutylthiohydroximate-lyase (deaminating; pyruvate-forming),H2O[c] + S-(4-Methylthiobutylthiohydroximoyl)-L-cysteine[c] <=> NH3[c] + Pyruvate[c] + 4-Methylthiobutylthiohydroximate[c],4.4.1.-,NA,-1000,1000,NA,c,Glucosinolate biosynthesis
R08668,UDP-glucose:4-methylthiobutylthiohydroximate S-beta-D-glucosyltransferase,UDP-glucose[c] + 4-Methylthiobutylthiohydroximate[c] <=> UDP[c] + 3-Methylthiopropyl-desulfoglucosinolate[c],2.4.1.195,( 102603088 and 102603422 ),-1000,1000,NA,c,Glucosinolate biosynthesis
R08669,3'-phosphoadenylyl-sulfate:3-methylthiopropyl-desulfoglucosinolate sulfotransferase,"3'-Phosphoadenylyl sulfate[c] + 3-Methylthiopropyl-desulfoglucosinolate[c] <=> Adenosine 3',5'-bisphosphate[c] + Glucoiberverin[c]",2.8.2.-,NA,-1000,1000,NA,c,Glucosinolate biosynthesis
R03522,RX:glutathione R-transferase,RX[c] + Glutathionev[c] <=> Halide[c] + R-S-Glutathione[c],2.5.1.18,( 102588302 and 102604497 and 102586486 and 102604186 and 102579204 and 102580173 and 102589882 and 102592906 and 102599652 and 102585121 and 102587200 and 102602024 and 102602353 and 102603659 and 102589684 and 102599650 and 102604265 and 102589451 and 102583107 and 102583433 and 102605464 and 102597085 and 102598723 and 102601040 and 102584494 and 102602918 and 102591927 and 102592934 and 102595211 and 102578973 and 102599649 and 102597738 and 102602051 and 102602975 and 102593123 and 102598382 and 102600033 and 102590689 and 102599054 and 102600687 and 102600356 and 102601722 and 102599376 and 102597414 and 102598057 and 102603110 and 102606128 and 102606460 and 102579851 and 102599465 and 102603441 and 102601385 and 102589125 and 102601652 and 102604593 and 102604161 and 107058368 and 107059168 and 107059243 and 107057662 and 107058373 and 107059140 and 107059535 and 107059138 and 107057668 ),-1000,1000,NA,c,Glutathione metabolism
R08362,trypanothione:hydroperoxide oxidoreductase,Trypanothione[c] + ROOH[c] <=> H2O[c] + ROH[c] + Trypanothione disulfide[c],1.11.1.15,NA,-1000,1000,NA,c,Glutathione metabolism
R08364,2'-deoxyribonucleoside-diphosphate:trypanothione-disulfide 2'-oxidoreductase,H2O[c] + Trypanothione disulfide[c] + 2'-Deoxyribonucleoside diphosphate[c] <=> Trypanothione[c] + Ribonucleoside diphosphate[c],1.17.4.1,( 102585367 and 102602086 ) or ( 102605798 and 102601428 ),-1000,1000,NA,c,Glutathione metabolism
R01011,ATP:glycerone phosphotransferase,ATP[c] + Glycerone[c] => ADP[c] + Glycerone phosphate[c],2.7.1.29,( 102592901 ),0,1000,NA,c,Glycerolipid metabolism
R01036,Glycerol:NAD+ oxidoreductase,NAD+[c] + Glycerol[c] <=> NADH[c] + H+[c] + D-Glyceraldehyde[c],1.1.1.21,( 102596820 and 107058339 ),-1000,1000,NA,c,Glycerolipid metabolism
R01041,Glycerol:NADP+ oxidoreductase,NADP+[c] + Glycerol[c] <=> NADPH[c] + H+[c] + D-Glyceraldehyde[c],1.1.1.2         1.1.1.21        1.1.1.72,( 102596820 and 107058339 ),-1000,1000,NA,c,Glycerolipid metabolism
R01351,1-acylglycerol acylhydrolase,H2O[c] + 1-Acylglycerol[c] => Glycerol[c] + Fatty acid[c],3.1.1.23,( 102605828 and 102604485 and 102603498 and 102605394 and 102592158 and 102601693 and 107061600 ),0,1000,NA,c,Glycerolipid metabolism
R01752,D-Glyceraldehyde:NAD+ oxidoreductase,H2O[c] + NAD+[c] + D-Glyceraldehyde[c] <=> NADH[c] + H+[c] + D-Glycerate[c],1.2.1.3,( 102591315 and 102591095 and 102587253 and 102601322 and 102588058 and 102597448 and 102594797 and 102596127 ) or ( 102598345 ),-1000,1000,NA,c,Glycerolipid metabolism
R00848,sn-Glycerol-3-phosphate:(acceptor) 2-oxidoreductase,sn-Glycerol 3-phosphate[c] + FAD[c] <=> Glycerone phosphate[c] + FADH2[c],1.1.5.3,( 102601220 ),-1000,1000,NA,c,Glycerophospholipid metabolism
R00842,sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase,NAD+[c] + sn-Glycerol 3-phosphate[c] <=> NADH[c] + H+[c] + Glycerone phosphate[c],1.1.1.8,( 102595467 and 102579026 and 102593283 and 102595194 ),-1000,1000,NA,c,Glycerophospholipid metabolism
R02756,,NADP+[c] + 1-Acyl-sn-glycerol 3-phosphate[c] <=> NADPH[c] + H+[c] + Acylglycerone phosphate[c],1.1.1.101,NA,-1000,1000,NA,c,Glycerophospholipid metabolism
R00220,L-serine ammonia-lyase,L-Serine[c] => NH3[c] + Pyruvate[c],4.3.1.17        4.3.1.19,( 102583664 and 102582387 and 102592163 and 102594300 ),0,1000,NA,c,"Glycine, serine and threonine metabolism"
R00582,O-phospho-L-serine phosphohydrolase,H2O[c] + O-Phospho-L-serine[c] <=> Orthophosphate[c] + L-Serine[c],3.1.3.3,( 102604859 ),-1000,1000,NA,c,"Glycine, serine and threonine metabolism"
R00585,L-Serine:pyruvate aminotransferase,Pyruvate[c] + L-Serine[c] <=> L-Alanine[c] + Hydroxypyruvate[c],2.6.1.51,( 102592345 ),-1000,1000,NA,c,"Glycine, serine and threonine metabolism"
R00589,serine racemase;,L-Serine[c] => D-Serine[c],5.1.1.10        5.1.1.18,( 102594901 and 102595236 and 102605212 ),0,1000,NA,c,"Glycine, serine and threonine metabolism"
R00610,sarcosine:oxygen oxidoreductase (demethylating),H2O[c] + Oxygen[c] + Sarcosine[c] => Hydrogen peroxide[c] + Glycine[c] + Formaldehyde[c],1.5.3.1,( 102581785 ),0,1000,NA,c,"Glycine, serine and threonine metabolism"
R00751,L-threonine acetaldehyde-lyase (glycine-forming),L-Threonine[c] <=> Glycine[c] + Acetaldehyde[c],4.1.2.5,( 102577840 ),-1000,1000,NA,c,"Glycine, serine and threonine metabolism"
R00996,L-threonine ammonia-lyase (2-oxobutanoate-forming),L-Threonine[c] => NH3[c] + 2-Oxobutanoate[c],4.3.1.19,( 102583664 and 102582387 and 102592163 and 102594300 ),0,1000,NA,c,"Glycine, serine and threonine metabolism"
R01466,O-phospho-L-homoserine phosphate-lyase (adding water;L-threonine-forming),H2O[c] + O-Phospho-L-homoserine[c] <=> Orthophosphate[c] + L-Threonine[c],4.2.3.1,( 102577745 and 102591826 ),-1000,1000,NA,c,"Glycine, serine and threonine metabolism"
R01513,3-Phospho-D-glycerate:NAD+ 2-oxidoreductase,NAD+[c] + 3-Phospho-D-glycerate[c] <=> NADH[c] + H+[c] + 3-Phosphonooxypyruvate[c],1.1.1.95,( 102588117 and 102591151 and 102580248 ),-1000,1000,NA,c,"Glycine, serine and threonine metabolism"
R01771,ATP:L-homoserine O-phosphotransferase,ATP[c] + L-Homoserine[c] <=> ADP[c] + O-Phospho-L-homoserine[c],2.7.1.39,( 102600638 and 102602692 ),-1000,1000,NA,c,"Glycine, serine and threonine metabolism"
R01775,L-homoserine:NADP+ oxidoreductase,NADP+[c] + L-Homoserine[c] <=> NADPH[c] + H+[c] + L-Aspartate 4-semialdehyde[c],1.1.1.3,( 102583425 and 102605445 ),-1000,1000,NA,c,"Glycine, serine and threonine metabolism"
R02722,L-serine hydro-lyase [adding 1-C-(indol-3-yl)glycerol 3-phosphate; L-tryptophan and glyceraldehyde-3-phosphate-forming],L-Serine[c] + Indoleglycerol phosphate[c] <=> H2O[c] + L-Tryptophan[c] + D-Glyceraldehyde 3-phosphate[c],4.2.1.20,( 102592296 ) or ( 102578868 and 102581209 and 102588810 and 102580186 ) or ( 102588644 ),-1000,1000,NA,c,"Glycine, serine and threonine metabolism"
R04125,S-aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming),"Tetrahydrofolate[c] + S-Aminomethyldihydrolipoylprotein[c] <=> NH3[c] + 5,10-Methylenetetrahydrofolate[c] + Dihydrolipoylprotein[c]",2.1.2.10,( 102602939 ),-1000,1000,NA,c,"Glycine, serine and threonine metabolism"
R04173,3-Phosphoserine:2-oxoglutarate aminotransferase,2-Oxoglutarate[c] + O-Phospho-L-serine[c] <=> L-Glutamate[c] + 3-Phosphonooxypyruvate[c],2.6.1.52,( 102591400 ),-1000,1000,NA,c,"Glycine, serine and threonine metabolism"
R06171,L-Allothreonine acetaldehyde-lyase,L-Allothreonine[c] <=> Glycine[c] + Acetaldehyde[c],4.1.2.5,( 102577840 ),-1000,1000,NA,c,"Glycine, serine and threonine metabolism"
R10851,L-allo-threonine:NADP+ 3-oxidoreductase,L-Allothreonine[c] + NADP+[c] <=> L-2-Amino-3-oxobutanoic acid[c] + NADPH[c] + H+[c],1.1.1.381,NA,-1000,1000,NA,c,"Glycine, serine and threonine metabolism"
R00200,ATP:pyruvate 2-O-phosphotransferase,ATP[c] + Pyruvate[c] <=> ADP[c] + Phosphoenolpyruvate[c],2.7.1.40,( 102601765 and 102581596 and 102601328 and 102597674 and 102604947 and 102600537 and 102596468 and 102593181 and 102582462 and 102579422 ),-1000,1000,NA,c,Glycolysis / Gluconeogenesis
R00703,(S)-Lactate:NAD+ oxidoreductase,NAD+[c] + (S)-Lactate[c] <=> NADH[c] + Pyruvate[c] + H+[c],1.1.1.27,( 102604318 and 102577778 ),-1000,1000,NA,c,Glycolysis / Gluconeogenesis
R00341,ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming),ATP[c] + Oxaloacetate[c] <=> ADP[c] + Phosphoenolpyruvate[c] + CO2[c],4.1.1.49,( 102578647 and 102596191 ),-1000,1000,NA,c,Glycolysis / Gluconeogenesis
R00710,Acetaldehyde:NAD+ oxidoreductase,H2O[c] + NAD+[c] + Acetaldehyde[c] <=> NADH[c] + Acetate[c] + H+[c],1.2.1.3         1.2.1.5,( 102591315 and 102591095 and 102587253 and 102601322 and 102588058 and 102597448 and 102594797 and 102596127 ) or ( 102598345 ),-1000,1000,NA,c,Glycolysis / Gluconeogenesis
R00754,ethanol:NAD+ oxidoreductase,NAD+[c] + Ethanol[c] <=> NADH[c] + H+[c] + Acetaldehyde[c],1.1.1.1         1.1.1.71,( 102599478 and 102585018 ) or ( 102583926 and 102584141 and 102589498 and 102581826 and 102583366 and 102577476 and 102583816 and 102591308 ) or ( 102577519 and 102597889 and 107060714 ),-1000,1000,NA,c,Glycolysis / Gluconeogenesis
R01015,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,D-Glyceraldehyde 3-phosphate[c] => Glycerone phosphate[c],5.3.1.1,( 102587260 and 102601486 and 102577900 and 102583463 ),0,1000,NA,c,Glycolysis / Gluconeogenesis
R01061,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),NAD+[c] + Orthophosphate[c] + D-Glyceraldehyde 3-phosphate[c] <=> NADH[c] + H+[c] + 3-Phospho-D-glyceroyl phosphate[c],1.2.1.12        1.2.1.59,( 102605742 and 102589564 and 102592694 and 102577868 and 102583988 ),-1000,1000,NA,c,Glycolysis / Gluconeogenesis
R01063,D-glyceraldehyde-3-phosphate:NADP+ oxidoreductase (phosphorylating),NADP+[c] + Orthophosphate[c] + D-Glyceraldehyde 3-phosphate[c] <=> NADPH[c] + H+[c] + 3-Phospho-D-glyceroyl phosphate[c],1.2.1.13        1.2.1.59,( 102606161 and 102605252 and 102587206 ),-1000,1000,NA,c,Carbon fixation in photosynthetic organisms
R01070,"beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)","beta-D-Fructose 1,6-bisphosphate[c] <=> Glycerone phosphate[c] + D-Glyceraldehyde 3-phosphate[c]",4.1.2.13,( 102577529 and 102577738 and 102577842 and 102606020 and 102577880 and 102577677 and 102577667 and 102580344 ),-1000,1000,NA,c,Glycolysis / Gluconeogenesis
R01512,ATP:3-phospho-D-glycerate 1-phosphotransferase,ATP[c] + 3-Phospho-D-glycerate[c] => ADP[c] + 3-Phospho-D-glyceroyl phosphate[c],2.7.2.3,( 102606065 and 102605730 and 102602623 and 102577647 ),0,1000,NA,c,Glycolysis / Gluconeogenesis
R01518,"2-Phospho-D-glycerate 2,3-phosphomutase",2-Phospho-D-glycerate[c] => 3-Phospho-D-glycerate[c],5.4.2.1,( 102578340 and 102593705 and 102581345 ) or ( 102577561 ) or ( 102592733 and 102599697 ),0,1000,NA,c,Glycolysis / Gluconeogenesis
R01602,D-Glucose 1-epimerase,alpha-D-Glucose[c] <=> beta-D-Glucose[c],5.1.3.3,( 102590459 and 102590807 and 102593955 and 102585025 and 102590141 ),-1000,1000,NA,c,Glycolysis / Gluconeogenesis
R01786,ATP:alpha-D-glucose 6-phosphotransferase,ATP[c] + alpha-D-Glucose[c] => ADP[c] + alpha-D-Glucose 6-phosphate[c],2.7.1.1         2.7.1.2,( 102577690 and 102580689 and 102577859 and 102584320 and 102604144 and 102605773 ),0,1000,NA,c,Glycolysis / Gluconeogenesis
R02569,acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase,Acetyl-CoA[c] + Enzyme N6-(dihydrolipoyl)lysine[c] <=> CoA[c] + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine[c],2.3.1.12,( 102579301 and 102589456 and 102583674 and 102592754 ),-1000,1000,NA,c,Glycolysis / Gluconeogenesis
R02739,alpha-D-Glucose 6-phosphate ketol-isomerase,alpha-D-Glucose 6-phosphate[c] <=> beta-D-Glucose 6-phosphate[c],5.1.3.15        5.3.1.9,( 102594813 and 102580708 and 102600001 and 102597354 and 102592943 and 102584885 ) or ( 102585856 and 102577825 ),-1000,1000,NA,c,Glycolysis / Gluconeogenesis
